name,pattern,image,x,y
Bag,BCBC,,0,0
Pencil,BCBCBC,,0,40
ChickenHead,BCBCH,,0,80
Fish,BCH,,0,120
Glitter,BCHC,,0,160
GlueStick,BCHB,,40,0
Rubber band,BCHCB,,40,40
Frog,BCHBCH,,40,80
Litter,BCHCH,,40,120
Fruit,BCHCHC,,40,160
Ball,CB,,80,0
ArmyMan,CBCB,,80,40
Flag,CBCBCB,,80,80
Worm,CBCBCBCB,,80,120
Water,CBCH,,80,160
Apple,CBLB,,0,200
Mouse,CH,,40,200
Shoe,CHCH,,80,200
BouncyBall,HBCB,,0,240
Dice,HBHBHB,,40,240
HairBall1,HCB,,80,240
Grass,HCBC,,120,0
Grapes,HCBCB,,120,40
HairBall2,HCBHCB,,120,240
Leaf,HCH,,120,80
Keys,HCHC,,120,120
Toy,HCHCH,,120,160
Lego,HCHCB,,120,200
KeyboardKey,HCHCHC,,160,0
